region_id,helcom_id,year,BQR,area_km2
BHI-029,SEA-012,2018,0.4125,9026.529281157389
BHI-026,SEA-010,2018,0.4125,26032.501703885362
BHI-015,SEA-007,2018,0.4125,9473.897649
BHI-017,SEA-007,2018,0.4125,15029.682652
BHI-014,SEA-007,2018,0.4125,13529.133609147617
BHI-021,SEA-009,2018,0.4125,11020.2552265
BHI-020,SEA-009,2018,0.4125,22015.220537
BHI-026,SEA-010,2018,0.4125,26032.501703885362
BHI-013,SEA-006,2018,0.3,7105.5713975
BHI-012,SEA-006,2018,0.3,4528.9125166614285
BHI-011,SEA-006,2018,0.3,4228.494264
BHI-010,SEA-005,2018,0.3,3466.080649
BHI-009,SEA-005,2018,0.3,851.5076746736042
BHI-016,SEA-007,2018,0.3,2594.576657
BHI-015,SEA-007,2018,0.3,9473.897649
BHI-017,SEA-007,2018,0.3,15029.682652
BHI-014,SEA-007,2018,0.3,13529.133609147617
BHI-012,SEA-006,2018,0.391666666667,4528.9125166614285
BHI-011,SEA-006,2018,0.391666666667,4228.494264
BHI-006,SEA-003,2018,0.391666666667,178.18502421069695
BHI-005,SEA-003,2018,0.391666666667,455.7312505
BHI-010,SEA-005,2018,0.391666666667,3466.080649
BHI-009,SEA-005,2018,0.391666666667,851.5076746736042
BHI-003,SEA-002,2018,0.391666666667,2066.501184725057
BHI-008,SEA-004,2018,0.391666666667,2205.9102645
BHI-007,SEA-004,2018,0.391666666667,1278.683606
BHI-003,SEA-002,2018,0.4375,2066.501184725057
BHI-002,SEA-001,2018,0.4375,9154.184828993884
BHI-001,SEA-001,2018,0.4375,6975.9304155
BHI-042,SEA-017,2018,0.7,10408.156058049932
BHI-041,SEA-017,2018,0.7,10918.672366093895
BHI-040,SEA-016,2018,0.7,1503.9529556468929
BHI-039,SEA-016,2018,0.7,1355.7617014530904
BHI-036,SEA-014,2018,0.3625,0
BHI-038,SEA-015,2018,0.3625,23899.080387580143
BHI-037,SEA-015,2018,0.3625,25678.18567646356
BHI-040,SEA-016,2018,0.3625,1503.9529556468929
BHI-039,SEA-016,2018,0.3625,1355.7617014530904
BHI-034,SEA-013,2018,0.4125,8397.4601575
BHI-032,SEA-013,2018,0.4125,4073.492565139639
BHI-033,SEA-013,2018,0.4125,11667.2227905
BHI-031,SEA-012,2018,0.4125,11859.7643445
BHI-030,SEA-012,2018,0.4125,8476.9206145
BHI-036,SEA-014,2018,0.4125,0
BHI-035,SEA-014,2018,0.4125,1126.523003762879
BHI-043,SEA-018,2018,0.4125,0
BHI-038,SEA-015,2018,0.4125,23899.080387580143
BHI-037,SEA-015,2018,0.4125,25678.18567646356
BHI-032,SEA-013,2018,0.4125,4073.492565139639
BHI-028,SEA-011,2018,0.4125,2443.231636492914
BHI-031,SEA-012,2018,0.4125,11859.7643445
BHI-030,SEA-012,2018,0.4125,8476.9206145
BHI-029,SEA-012,2018,0.4125,9026.529281157389
BHI-026,SEA-010,2018,0.4125,26032.501703885362
BHI-025,SEA-009,2018,0.3,5454.121375
BHI-024,SEA-009,2018,0.3,19827.010825730515
BHI-028,SEA-011,2018,0.3,2443.231636492914
BHI-027,SEA-011,2018,0.3,6231.001320244857
BHI-025,SEA-009,2018,0.4125,5454.121375
BHI-024,SEA-009,2018,0.4125,19827.010825730515
BHI-020,SEA-009,2018,0.4125,22015.220537
BHI-031,SEA-012,2018,0.4125,11859.7643445
BHI-029,SEA-012,2018,0.4125,9026.529281157389
BHI-026,SEA-010,2018,0.4125,26032.501703885362
BHI-023,SEA-009,2018,0.4125,6201.024208696721
BHI-024,SEA-009,2018,0.4125,19827.010825730515
BHI-021,SEA-009,2018,0.4125,11020.2552265
BHI-022,SEA-009,2018,0.4125,9444.7925275
BHI-020,SEA-009,2018,0.4125,22015.220537
BHI-018,SEA-008,2018,0.4125,3725.5379055
BHI-019,SEA-008,2018,0.4125,2150.3407925
BHI-026,SEA-010,2018,0.4125,26032.501703885362
BHI-043,8,2018,0.5167,6566.777927827697
BHI-042,1,2018,0.7667,5548.123012950068
BHI-041,2,2018,0.7,5349.795993906105
BHI-040,3,2018,0.6167,3404.8956388531074
BHI-039,4,2018,0.45,1894.2033970469095
BHI-038,5,2018,0.6167,3518.7290172554262
BHI-037,6,2018,0.7,6252.65935353644
BHI-035,7,2018,0.5167,592.3826022371211
BHI-036,8,2018,0.5167,7810.24082
BHI-029,9,2018,0.7,3467.4691703426097
BHI-032,11,2018,0.6167,5739.2846798603605
BHI-028,14,2018,0.35,8369.419786507086
BHI-027,15,2018,0.6167,1743.559661255143
BHI-026,16,2018,0.5125,8495.68349061464
BHI-024,18,2018,0.75,549.8974832694855
BHI-023,19,2018,0.7,622.4491063032796
BHI-014,25,2018,0.8333,1390.6730403523827
BHI-012,30,2018,0.45,1737.3344858385722
BHI-009,33,2018,0.45,302.6153363263956
BHI-003,36,2018,0.45,8602.737122774943
BHI-006,38,2018,0.45,287.00254778930304
BHI-002,40,2018,0.45,6332.073948506115
